outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
total_suicide_rate_per_100k,Total Suicide,2023,3,3,21,0.22779897532053717,0.023039178176176733,0.20475979714436043
total_suicide_rate_per_100k,Total Suicide,2023,5,3,21,0.014336846681098692,-0.059362313493576124,0.07369916017467482
total_suicide_rate_per_100k,Total Suicide,2024,2,2,21,-0.2677925073112828,-0.5356592300820839,0.26786672277080115
total_suicide_rate_per_100k,Total Suicide,2024,3,2,21,-0.06740546913038337,-0.44616149397581495,0.3787560248454316
total_suicide_rate_per_100k,Total Suicide,2024,5,2,21,-0.027112694650234914,-0.26112682826265043,0.23401413361241552
firearm_homicide_rate_per_100k,Firearm Homicide,2003,2,1,21,-0.012006669660872049,0.014812770339707182,-0.02681944000057923
firearm_homicide_rate_per_100k,Firearm Homicide,2003,3,1,21,0.34078932589759825,0.06085859200737698,0.2799307338902213
firearm_homicide_rate_per_100k,Firearm Homicide,2003,5,1,21,0.16107866767070522,0.08015387447571687,0.08092479319498835
firearm_homicide_rate_per_100k,Firearm Homicide,2010,2,1,21,-0.33081805458946967,-0.11381427290509594,-0.21700378168437373
firearm_homicide_rate_per_100k,Firearm Homicide,2010,3,1,21,-0.8417653671851815,-0.15382683089812632,-0.6879385362870551
