outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.06952598082368447,0.37539253816084445,0.8530653103448672,1189.0,0.8875131322765022,not_p05,New Hampshire
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.07199792274156014,0.3769738052054306,0.8485340602480582,1188.0,0.8881337851875049,not_p05,North Dakota
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.05045540423867459,0.3737764156063102,0.8926212067352481,1173.0,0.8889730776592863,not_p05,Ohio
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.05657259105614593,0.3828164432171974,0.8825164409621926,1173.0,0.8900284686643529,not_p05,Oklahoma
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.04539094538082751,0.37033662336048395,0.9024502089424857,1173.0,0.8867276990389608,not_p05,South Carolina
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.07709949114697505,0.3780557031423826,0.8384028440541907,1187.0,0.8883835804262352,not_p05,South Dakota
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.11213442447966554,0.37424597032613455,0.7644612238670833,1173.0,0.8877737274777167,not_p05,Tennessee
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.08067852286716845,0.37680535564789674,0.8304597707933085,1173.0,0.8886316713069511,not_p05,Texas
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.052474760165078266,0.3765279965364432,0.8891618628278445,1173.0,0.8869196381841122,not_p05,Utah
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.04286049400295769,0.3892828868932602,0.9123291551565691,1173.0,0.8908035630404814,not_p05,West Virginia
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.08464792795646568,0.37422755236573296,0.8210507427932155,1187.0,0.8889269032667535,not_p05,Wyoming
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3831697810070638,0.4744105011337806,0.003550568258309889,1274.0,0.9312353323129083,positive_p05,Alabama
