State,State Code,Year,cancer_deaths,cancer_population,cancer_rate_per_100k,cardiovascular_deaths,cardiovascular_population,cardiovascular_rate_per_100k,motor_vehicle_deaths,motor_vehicle_population,motor_vehicle_rate_per_100k
Oregon,41,2017,8083,4142776,195.11071803061523,9989,4142776,241.11851570058337,509,4142776,12.286447541455296
Oregon,41,2018,8159,4190713,194.6924067575136,9848,4190713,234.99581097536387,496,4190713,11.835694785111746
Oregon,41,2019,8080,4217737,191.57192589296108,10310,4217737,244.44388068767682,534,4217737,12.66081787460906
Oregon,41,2020,8283,4241507,195.28436473168617,10726,4241507,252.881817712431,526,4241507,12.401252667978621
Oregon,41,2021,8596,4246155,202.44197397410127,11334,4246155,266.92384050982594,608,4246155,14.318836688721913
Oregon,41,2022,8485,4240137,200.11145866277434,11907,4240137,280.81639814939945,616,4240137,14.527832473337535
Oregon,41,2023,8392,4233358,198.23506540198113,11289,4233358,266.66773752656877,570,4233358,13.464488474634084
Oregon,41,2024,8551,4272371,200.14647604339604,11249,4272371,263.2964225251037,518,4272371,12.124415225175904
Pennsylvania,42,1999,30312,12263805,247.16635660792062,53467,12263805,435.97399012786,1580,12263805,12.883440335197763
Pennsylvania,42,2000,30161,12281054,245.58967007229185,52809,12281054,430.003809119315,1522,12281054,12.393073102683207
Pennsylvania,42,2001,29914,12298970,243.22361953887196,51215,12298970,416.4169845117111,1574,12298970,12.797819654816623
Pennsylvania,42,2002,29849,12331031,242.06410639953788,50540,12331031,409.86029473123534,1739,12331031,14.10263261847286
Pennsylvania,42,2003,29841,12374658,241.1460583395517,49545,12374658,400.3747012644713,1652,12374658,13.349863891187942
Pennsylvania,42,2004,29424,12410722,237.08532025775776,47369,12410722,381.6780361368178,1595,12410722,12.851790572699962
Pennsylvania,42,2005,29616,12449990,237.87970914032863,47029,12449990,377.7432752958034,1771,12449990,14.22491102402492
Pennsylvania,42,2006,29172,12510809,233.1743694592412,43708,12510809,349.36189977802394,1625,12510809,12.988768352230458
Pennsylvania,42,2007,29014,12563937,230.93079820441633,42735,12563937,340.1401965005078,1604,12563937,12.766698846070303
Pennsylvania,42,2008,28964,12612285,229.64910799272297,42920,12612285,340.30312508795987,1584,12612285,12.559183367645119
Pennsylvania,42,2009,28881,12666858,228.00445066961356,41792,12666858,329.9318583977179,1378,12666858,10.878783041540373
Pennsylvania,42,2010,29055,12702379,228.73667995577836,40718,12702379,320.55412612078413,1441,12702379,11.344331640553317
Pennsylvania,42,2011,28895,12742886,226.75397080378806,41450,12742886,325.27953243872696,1484,12742886,11.645713537733917
Pennsylvania,42,2012,28909,12763536,226.4967952454555,40112,12763536,314.27027745289394,1379,12763536,10.80421601035951
Pennsylvania,42,2013,28512,12773801,223.20685910168788,40897,12773801,320.1631213763233,1334,12773801,10.443250211898556
Pennsylvania,42,2014,28692,12787209,224.3804727051853,40512,12787209,316.81659383216464,1281,12787209,10.017823279497504
Pennsylvania,42,2015,28697,12802503,224.1514803784854,41656,12802503,325.3738741557022,1296,12802503,10.123020474980557
Pennsylvania,42,2016,28492,12784227,222.86838304732856,41313,12784227,323.1560265630452,1283,12784227,10.035804276629317
Pennsylvania,42,2017,28387,12805537,221.67754464338356,41453,12805537,323.7115319724585,1262,12805537,9.855111894175153
Pennsylvania,42,2018,28023,12807060,218.80900066057313,41940,12807060,327.47562672463465,1294,12807060,10.103802121642282
Pennsylvania,42,2019,27746,12801989,216.73194688731573,41459,12801989,323.84811453907673,1130,12801989,8.826753405271635
Pennsylvania,42,2020,27955,12783254,218.68453838122906,42706,12783254,334.07769258124733,1242,12783254,9.715836046127222
Pennsylvania,42,2021,27664,12964056,213.3900069546136,42095,12964056,324.7054779769541,1378,12964056,10.629389444167781
Pennsylvania,42,2022,27648,12972008,213.13585375525517,42109,12972008,324.6143542310489,1337,12972008,10.306808321425642
Pennsylvania,42,2023,27808,12961683,214.54004082648837,40252,12961683,310.54609189254205,1342,12961683,10.353593742417555
Pennsylvania,42,2024,27810,13078751,212.63498326407466,40008,13078751,305.900769882384,1250,13078751,9.55748756131224
Rhode Island,44,1999,2463,1040402,236.73541573353378,3868,1040402,371.77936989740505,89,1040402,8.5543857086011
Rhode Island,44,2000,2433,1048319,232.0858440989813,3956,1048319,377.36604983788334,81,1048319,7.726655722160906
Rhode Island,44,2001,2398,1057142,226.8380217605582,3969,1057142,375.44625036182464,97,1057142,9.175683115418742
Rhode Island,44,2002,2404,1065995,225.5170052392366,3925,1065995,368.2006013161413,95,1065995,8.911861687906605
Rhode Island,44,2003,2328,1071342,217.29755764265755,3797,1071342,354.4153034231833,103,1071342,9.61411015343373
Rhode Island,44,2004,2418,1074579,225.01835602594133,3718,1074579,345.99596679257644,99,1074579,9.212910358382214
