State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless
Kansas,20,2003,2723004,211,7.748795080727021,348,12.780003261104282,137,5.031208180377261,5.583333333333333,30029.0,0.437,6.523809523809524,0.819047619047619,0.6091690746352808,2015.0,1,0,-12.0
Kansas,20,2004,2734373,204,7.4605768854505214,371,13.568009924030116,167,6.107433038579593,5.491666666666667,30748.0,0.428,6.523809523809524,0.819047619047619,0.6286709878108223,2015.0,1,0,-11.0
Kansas,20,2005,2745299,188,6.848070100925254,362,13.186177534760333,174,6.338107433835077,5.083333333333333,32340.0,0.392,6.523809523809524,0.819047619047619,0.6286709878108223,2015.0,1,0,-10.0
Kansas,20,2006,2762931,211,7.636817568010204,381,13.789703760245912,170,6.152886192235708,4.416666666666667,35411.0,0.426,6.523809523809524,0.819047619047619,0.6286709878108223,2015.0,1,0,-9.0
Kansas,20,2007,2783785,213,7.65145296781181,384,13.794168730702982,171,6.142715762891172,4.258333333333334,37748.0,0.447,6.523809523809524,0.819047619047619,0.6286709878108223,2015.0,1,0,-8.0
Kansas,20,2008,2808076,185,6.588140776816582,338,12.036711257102729,153,5.448570480286147,4.583333333333333,41060.0,0.421,6.523809523809524,0.819047619047619,0.5761227581890944,2015.0,1,0,-7.0
Kansas,20,2009,2832704,200,7.060391767018369,383,13.520650233840174,183,6.460258466821805,7.041666666666667,39382.0,0.43,6.523809523809524,0.819047619047619,0.5761227581890944,2015.0,1,0,-6.0
Kansas,20,2010,2853118,210,7.360368551178045,403,14.1248977434512,193,6.764529192273155,6.941666666666666,39821.0,0.439,6.523809523809524,0.819047619047619,0.5761227581890944,2015.0,1,0,-5.0
Kansas,20,2011,2871238,233,8.114966436080882,395,13.757131940995489,162,5.6421655049146064,6.3500000000000005,42889.0,0.444,6.523809523809524,0.819047619047619,0.5761227581890944,2015.0,1,0,-4.0
Kansas,20,2012,2885905,297,10.291399058527569,503,17.429541166462514,206,7.138142107934945,5.683333333333334,44913.0,0.455,6.523809523809524,0.819047619047619,0.6111332674525305,2015.0,1,0,-3.0
Kansas,20,2013,2893957,241,8.3276980273031,426,14.720329293075192,185,6.392631265772092,5.316666666666666,45669.0,0.452,6.523809523809524,0.819047619047619,0.6111332674525305,2015.0,1,0,-2.0
Kansas,20,2014,2904021,238,8.195533021283248,457,15.736800801371617,219,7.541267780088367,4.525,46289.0,0.419,6.523809523809524,0.819047619047619,0.6111332674525305,2015.0,1,0,-1.0
Kansas,20,2015,2911641,224,7.693256139750745,481,16.519893764375485,257,8.826637624624741,4.175,46597.0,0.377,6.523809523809524,0.819047619047619,0.6111332674525305,2015.0,1,1,0.0
Kansas,20,2016,2907289,257,8.839850458623136,514,17.679700917246272,257,8.839850458623136,4.05,46717.0,0.423,6.523809523809524,0.819047619047619,0.6111147034260667,2015.0,1,1,1.0
