State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Idaho,16,2024,381,2001619,19.03459149818222,173,2001619,8.643003488675918,302.0,2001619.0,15.087786436879346
Illinois,17,1999,509,12359020,4.118449521078532,1128,12359020,9.12693724906991,733.0,12359020.0,5.930890960610146
Illinois,17,2000,488,12419293,3.929370214552471,1091,12419293,8.784719065731036,788.0,12419293.0,6.344966657924892
Illinois,17,2001,530,12488445,4.24392308249746,1081,12488445,8.65600160788633,767.0,12488445.0,6.141677366557646
Illinois,17,2002,561,12525556,4.478843094869402,1113,12525556,8.88583309196015,860.0,12525556.0,6.86596267662689
Illinois,17,2003,556,12556006,4.428159718942473,1043,12556006,8.306781631037767,741.0,12556006.0,5.901558186576209
Illinois,17,2004,612,12589773,4.8610884405938055,993,12589773,7.887354283512498,913.0,12589773.0,7.251917886049257
Illinois,17,2005,616,12609903,4.88504947262481,1032,12609903,8.184043921670135,970.0,12609903.0,7.692366864360496
Illinois,17,2006,672,12643955,5.314792721106648,1006,12643955,7.9563712461804865,1256.0,12643955.0,9.933600681115996
Illinois,17,2007,699,12695866,5.505729187752927,1090,12695866,8.585471837840759,1094.0,12695866.0,8.616978156511733
Illinois,17,2008,809,12747038,6.346572435102178,945,12747038,7.413486960657056,1208.0,12747038.0,9.476711374046268
Illinois,17,2009,802,12796778,6.267202572397521,780,12796778,6.095284297344222,1229.0,12796778.0,9.603980001841089
Illinois,17,2010,898,12830632,6.9988758153144754,828,12830632,6.4533064310472,1153.0,12830632.0,8.986307143716694
Illinois,17,2011,820,12869257,6.37177422130897,908,12869257,7.055574381644566,1282.0,12869257.0,9.961725063070853
Illinois,17,2012,926,12875255,7.192090564419889,884,12875255,6.8658834329883165,1482.0,12875255.0,11.510451637656885
Illinois,17,2013,991,12882135,7.692824209651583,900,12882135,6.986419564769349,1430.0,12882135.0,11.100644419577966
Illinois,17,2014,1070,12880580,8.307079339594956,870,12880580,6.754354229390291,1561.0,12880580.0,12.119019485147408
Illinois,17,2015,1047,12859995,8.141527271200339,902,12859995,7.013999616640597,1703.0,12859995.0,13.24261790148441
Illinois,17,2016,1092,12801539,8.530224373803806,889,12801539,6.944477535083868,2282.0,12801539.0,17.82598170423103
Illinois,17,2017,1115,12802023,8.709560981104314,954,12802023,7.451947243025574,2629.0,12802023.0,20.535816878316812
Illinois,17,2018,1188,12741080,9.324170321511206,967,12741080,7.589623485607185,2585.0,12741080.0,20.28870394032531
Illinois,17,2019,1246,12671821,9.83284091528755,947,12671821,7.4732747566431055,2685.0,12671821.0,21.188746274114827
Illinois,17,2020,1358,12587530,10.788454923245466,941,12587530,7.475652490997041,3469.0,12587530.0,27.559020713356794
Illinois,17,2021,1440,12671469,11.364112558693865,1021,12671469,8.057471473907249,3644.0,12671469.0,28.757518169361425
Illinois,17,2022,1435,12582032,11.405152999134003,978,12582032,7.772989291395857,3737.0,12582032.0,29.701084848615867
Illinois,17,2023,1461,12549689,11.641722755041977,932,12549689,7.426478855372432,3420.0,12549689.0,27.25167133623789
Illinois,17,2024,1621,12710158,12.753578673058195,904,12710158,7.112421419151517,2437.0,12710158.0,19.173640485035673
Indiana,18,1999,257,6044969,4.251469279660491,791,6044969,13.085261479421979,124.0,6044969.0,2.051292570731132
Indiana,18,2000,261,6080485,4.292420752620885,730,6080485,12.005621262119716,149.0,6080485.0,2.450462421994298
Indiana,18,2001,268,6127760,4.373539433659282,731,6127760,11.929318380615427,169.0,6127760.0,2.75794091152395
Indiana,18,2002,254,6155967,4.12607799879369,713,6155967,11.582258319448432,174.0,6155967.0,2.8265258731893788
